2025-07-11 09:46:52.428 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:46:52.428 [http-nio-8080-exec-4] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:52.429 [http-nio-8080-exec-4] INFO  c.e.d.controller.CustomerController - Received request to get all customers with params: {country=Egypt, status=active} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:52.429 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Attempting to retrieve all customers with parameters: {country=Egypt, status=active} and pageable: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:46:52.429 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'country' and value: 'Egypt'
2025-07-11 09:46:52.429 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Applying filter specification with key: 'status' and value: 'active'
2025-07-11 09:46:52.446 [http-nio-8080-exec-4] INFO  c.e.demo.service.CustomerService - Successfully retrieved 10 customers on page 0
2025-07-11 09:47:05.713 [http-nio-8080-exec-3] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Resolving Pageable argument.
2025-07-11 09:47:05.714 [http-nio-8080-exec-3] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Initial Pageable resolved by parent: Page request [number: 0, size 10, sort: customerId: ASC]
2025-07-11 09:47:05.715 [http-nio-8080-exec-3] INFO  c.e.d.s.r.AbstractSortArgumentResolver - No sort alias found for property 'customerId', using as is.
2025-07-11 09:47:05.715 [http-nio-8080-exec-3] INFO  c.e.d.s.r.AbstractSortArgumentResolver - Returning final Pageable object: Page request [number: 0, size 10, sort: customerId: ASC]
